Lana Del Rey,Summertime Sadness,716,4,0.199438,0.873884,0.381547,0.181832,0.08085,0,0.03947,0.5664388888888889,0.576009
Ariana Grande,Love Me Harder,715,3,0.01,0.300212,0.697694,0.728485,0.09453125,0,0.036868,0.45381111111111117,0.245027
Mark Ronson,Uptown Funk,715,0,0.006586,0.870316,0.529591,0.105547,0.0844,1,0.164026,0.5304222222222222,0.892336
Walk the Moon,Shut up and Dance,712,3,0.004848,0.491298,0.839285,0.203204,0.09038125,1,0.07945,0.5999,0.563899
Jason Mraz,I'm Yours,712,0,0.433895,0.684995,0.287394,0.391796,0.001187500000000008,1,0.061737,0.3212055555555555,0.830981
AWOLNATION,Sail,712,4,0.47928,0.831655,0.435236,0.095166,0.0650125,1,0.060401,0.5503166666666667,0.294953
Meghan Trainor,Dear Future Husband,710,1,0.352095,0.664212,0.787599,0.322829,0.09523125,1,0.200637,0.7719944444444444,0.822752
Coldplay,Fix You,710,3,0.161139,0.213758,0.413663,0.111707,0.0726,1,0.030691,0.6680333333333334,0.115842
The Lumineers,Ho Hey,710,0,0.618948,0.706487,0.372303,0.080815,0.0631125,1,0.031712,0.41151666666666664,0.320336
Eagles,Hotel California,708,2,0.005744,0.578693,0.508466,0.057489,0.065725,1,0.026993,0.70625,0.623397
Gotye,Somebody That I Used To Know,706,3,0.61103,0.858349,0.47601,0.114956,0.0721375,1,0.042021,0.5914055555555555,0.761888
Macklemore & Ryan Lewis,Can't Hold Us (feat. Ray Dalton),706,3,0.020583,0.633498,0.882653,0.107481,0.08391875,1,0.083905,0.7002611111111111,0.864479
Omi,Cheerleader - Felix Jaehn Remix Radio Edit,703,1,0.144547,0.796478,0.636115,0.108403,0.08643125,1,0.033366,0.5445444444444445,0.501462
Of Monsters and Men,Little Talks,703,0,0.018899,0.478363,0.387585,0.159914,0.012662499999999998,1,0.033601,0.47454999999999997,0.499013
Capital Cities,Safe And Sound,702,0,0.000725,0.6222,0.733844,0.040288,0.040931249999999995,1,0.080471,0.5441111111111111,0.845964
Ed Sheeran,I See Fire,702,2,0.621938,0.597828,0.08889,0.13928,0.0064687500000000005,0,0.059791,0.31144444444444447,0.202571
James Bay,Let It Go,702,2,0.828325,0.598673,0.278178,0.09774,0.05595,1,0.030159,0.7090666666666667,0.283117
Rihanna,Diamonds,700,4,0.00328,0.49758,0.456378,0.417169,0.04409999999999999,0,0.045394,0.39965555555555554,0.196904
Nico & Vinz,Am I Wrong,700,3,0.163255,0.688957,0.701585,0.548548,0.08632500000000001,0,0.030119,0.5552666666666666,0.754935
Bruno Mars,Locked Out Of Heaven,699,0,0.007686,0.523121,0.785148,0.212704,0.08235,0,0.03701,0.6000888888888889,0.151994
David Guetta,Dangerous,696,2,0.417449,0.465988,0.747182,0.106907,0.0947625,0,0.079477,0.40089444444444444,0.430434
Imagine Dragons,I Bet My Life,694,2,0.005178,0.586167,0.815649,0.201779,0.08565625,1,0.051525,0.55565,0.390825
ALTJ,Breezeblocks,694,3,0.095388,0.605119,0.571308,0.13057,0.0646875,1,0.035599,0.7223333333333334,0.304743
Fetty Wap,Trap Queen,694,3,0.141339,0.791715,0.760688,0.06821,0.09775625,1,0.112498,0.7117166666666667,0.824241
Sam Smith,Lay Me Down,693,0,0.921601,0.463045,0.133868,0.121161,0.014500000000000002,1,0.045065,0.61995,0.442617
Fall Out Boy,Centuries,693,0,0.002447,0.476202,0.611977,0.239273,0.0491375,1,0.049428,0.38778333333333337,0.490314
Arctic Monkeys,R U Mine?,690,0,0.046821,0.520093,0.785405,0.69778,0.09521874999999999,0,0.032897,0.42775555555555556,0.677654
Kings of Leon,Sex On Fire,690,0,0.003313,0.555824,0.681494,0.317458,0.03569375,1,0.038389,0.3237111111111111,0.653371
Lorde,Team,689,1,0.14094,0.688587,0.617336,0.104086,0.0826,1,0.090159,0.4442111111111111,0.485194
Avicii,Hey Brother,689,0,0.075529,0.51245,0.813492,0.091967,0.09596875,0,0.051563,0.58325,0.453551
Sia,Big Girls Cry,689,4,0.033363,0.476719,0.597667,0.106148,0.09401875,1,0.044215,0.788638888888889,0.088717
Queen,Bohemian Rhapsody,689,2,0.57345,0.348574,0.652758,0.102263,0.07615625,1,0.04304,0.6882555555555555,0.347873
Led Zeppelin,Stairway To Heaven,686,2,0.74453,0.335842,0.271382,0.260716,0.01678124999999999,1,0.032113,0.2577944444444445,0.164185
The Killers,Mr. Brightside,685,4,3.5e-05,0.420593,0.71849,0.116959,0.03661875,1,0.048999,0.7113777777777778,0.290114
Kygo,Firestone,685,2,0.407558,0.485836,0.651525,0.076998,0.0798375,0,0.051957,0.5169722222222223,0.403528
Jamie XX,Sleep Sound,684,1,0.65002,0.739266,0.46224,0.41621,0.0392,0,0.045901,0.5455277777777777,0.103297
M83,Midnight City,683,1,0.018172,0.506575,0.728982,0.065836,0.09125625,0,0.039274,0.47229444444444446,0.274685
Imagine Dragons,On Top Of The World,683,3,0.060117,0.545168,0.728995,0.670534,0.0358375,1,0.039905,0.4555333333333333,0.639382
Coldplay,The Scientist,681,0,0.891423,0.634547,0.247712,0.334727,0.07329375,0,0.040186,0.6899555555555555,0.194647
Lana Del Rey,Young And Beautiful,680,4,0.226492,0.3253,0.49692,0.326228,0.0682625,0,0.043476,0.50595,0.157526
Robin Thicke,Blurred Lines,679,2,0.003616,0.864211,0.609989,0.078133,0.09515625,1,0.040292,0.5555,0.83351
Charli XCX,Boom Clap,678,0,0.066367,0.558518,0.875226,0.157738,0.10354375,1,0.142084,0.9103666666666668,0.529537
