Metallica,Master Of Puppets,0.000562,0.253012,0.95946,0.127319,0.1092125,0,0.066188,0.53095,0.370233
Iron Maiden,Hallowed Be Thy Name,0.007468,0.362076,0.889324,0.440123,0.07239999999999999,0,0.05716,0.5317333333333334,0.363468
Megadeth,Holy Wars...The Punishment Due,0.002927,0.339346,0.887519,0.295703,0.04888125,1,0.069806,0.5838111111111111,0.314423
Metallica,One,0.004046,0.292619,0.622436,0.974616,-0.0005687500000000068,1,0.05575,0.43869444444444444,0.298985
Iron Maiden,The Trooper,0.021478,0.288059,0.856508,0.71255,0.0826875,0,0.06412,0.7884333333333333,0.694967
Black Sabbath,Iron Man,0.000467,0.263608,0.793208,0.103755,0.0745375,0,0.163396,0.7006055555555556,0.597437
Black Sabbath,Paranoid,0.098915,0.297179,0.866577,0.959435,0.06389375,1,0.067704,0.39381666666666665,0.364896
Metallica,Enter Sandman,0.005506,0.219601,0.949831,0.193506,0.07785625,0,0.13242,0.4736666666666667,0.230855
Judas Priest,Painkiller,0.000175,0.421849,0.965453,0.388942,0.0730625,0,0.115787,0.4619388888888889,0.085167
System of a Down,Chop Suey!,0.000353,0.420005,0.929286,0.122167,0.10063124999999999,0,0.121273,0.5955777777777778,0.318239
Cannibal Corpse,Unleashing the Bloodthirsty,0.000117,0.267255,0.997503,0.402331,0.08250625,1,0.249281,0.6056277777777778,0.037202
Anthrax,Burst,0.018809,0.285757,0.961916,0.446308,0.08324374999999999,1,0.158283,0.43177222222222217,0.153966
Slayer,Angel Of Death,6.8e-05,0.263151,0.996981,0.099687,0.10469375,0,0.156346,0.39045,0.07586
Black Sabbath,War Pigs,0.03669,0.305479,0.576967,0.203834,0.07716875000000001,1,0.11506,0.8621277777777777,0.403454
Metallica,Fade To Black,0.047705,0.263036,0.72456,0.100775,0.052637500000000004,1,0.064384,0.5194555555555556,0.448332
Dio,Holy Diver,0.131662,0.441124,0.880896,0.400268,0.08386875,0,0.08831,0.38031666666666664,0.509771
Pantera,Cowboys From Hell,0.000173,0.281058,0.96151,0.974215,0.07840625,0,0.112445,0.5060611111111111,0.223998
Ozzy Osbourne,Crazy Train,0.014464,0.471303,0.91677,0.323439,0.10264999999999999,1,0.054926,0.653388888888889,0.59364
Pantera,Cemetery Gates,0.000299,0.256149,0.855365,0.122585,0.08150625,1,0.057969,0.6973111111111111,0.395043
Metallica,The Four Horsemen,0.002396,0.228279,0.953437,0.124573,0.08866875,1,0.348481,1.0117555555555557,0.33575
Moby,Go,0.00028,0.615812,0.736991,0.062403,0.0657375,0,0.047279,0.6334888888888889,0.657971
Azzido Da Bass,Dooms Night,0.006328,0.837346,0.813426,0.150037,0.0820625,1,0.137429,0.6224555555555555,0.157218
Daft Punk,Get Lucky,0.060375,0.804968,0.850349,0.104369,0.0796125,0,0.039046,0.5335777777777777,0.832069
Underworld,Shudder / King Of Snake (Live),0.00097,0.518071,0.973384,0.680424,0.070325,0,0.0952,0.6666500000000001,0.138024
Phuture,Acid Tracks,0.010288,0.789773,0.891927,0.095836,0.03879375,1,0.066381,0.5866944444444445,0.598885
Justice,Waters Of Nazareth,0.031728,0.324144,0.993385,0.71048,0.11153125,1,0.369784,0.6220388888888889,0.045484
The Chemical Brothers,Block Rockin' Beats,0.010201,0.616129,0.974805,0.091389,0.08132500000000001,0,0.054039,0.49655000000000005,0.881656
Plastikman,Spastik,0.000948,0.800381,0.936431,0.132591,0.06718125,1,0.058402,0.6054222222222222,0.550681
New Order,Blue Monday,0.000412,0.613229,0.92719,0.830707,0.0772875,1,0.042357,0.6143444444444444,0.266252
Skrillex,Scary Monsters And Nice Sprites,0.014014,0.532104,0.865621,0.168545,0.0776125,0,0.101395,0.6669166666666666,0.45944
Marshall Jefferson,Move Your Body,0.048359,0.76564,0.917413,0.772109,0.08941875,0,0.107177,0.5683555555555556,0.66502
Stardust,Music Sounds Better With You,0.001415,0.703969,0.27375,0.126447,0.003224999999999989,1,0.198961,0.5762499999999999,0.366513
Paperclip People,Throw,0.000918,0.80557,0.542486,0.09189,0.0786,0,0.078609,0.5945944444444444,0.079483
Inner City,Big Fun,0.025317,0.660698,0.985679,0.070995,0.090325,0,0.053715,0.5562277777777778,0.966746
