Maroon 5,Animals,0.00018,0.372537,0.398138,0.861088,0.0120625,0,0.064153,0.6074,0.392631,3
Meghan Trainor,All About That Bass,0.041659,0.791114,0.854192,0.111222,0.09806875,1,0.061759,0.633516667,0.962221,4
Tove Lo,Habits,0.044441,0.72756,0.372946,0.480436,0.03003125,1,0.034987,0.512872222,0.44884,1
Ed Sheeran,Don't,0.009122,0.79997,0.624131,0.346584,0.0817,1,0.077493,0.417,0.844979,0
Taylor Swift,Blank Space,0.085046,0.752214,0.678207,0.130076,0.09111875,1,0.064559,0.422272222,0.566263,3
Sam Smith,I'm Not The Only One,0.490804,0.671327,0.475932,0.117764,0.08765,1,0.035907,0.344472222,0.465118,3
Jessie J,Bang Bang,0.283124,0.704522,0.723013,0.28811,0.09458125,0,0.096614,0.722333333,0.765032,4
Mr. Probz,Waves,0.071502,0.753056,0.627594,0.097314,0.0755375,0,0.050242,0.559877778,0.38283,2
Calvin Harris,Blame,0.055765,0.624807,0.499763,0.125096,0.02496875,0,0.056624,0.614411111,0.452318,1
Hozier,Take Me To Church,0.336397,0.588576,0.577671,0.115772,0.09285625,0,0.052264,0.604255556,0.214146,1
Nick Jonas,Jealous,0.021627,0.654824,0.757658,0.211838,0.0980375,0,0.098395,0.416822222,0.349483,1
Nico & Vinz,In Your Arms,0.320705,0.435723,0.813302,0.180134,0.08568125,1,0.0927,0.498638889,0.629445,2
Fall Out Boy,Centuries,0.006827,0.472805,0.622696,0.20663,0.033275,0,0.046549,0.377527778,0.635077,2
Alicia Keys,If I Ain't Got You,0.053621,0.376046,0.535569,0.937837,0.06850625,1,0.059712,0.495072222,0.216103,1
John Legend,Stay with You,0.551721,0.701436,0.349321,0.11669,0.04673125,1,0.061481,0.580894444,0.205866,4
Westlife,You Are So Beautiful (To Me),0.967204,0.385965,0.11588,0.071001,0.04471875,1,0.041011,0.545388889,0.103005,2
Chris Brown,With You,0.195506,0.636854,0.380401,0.169786,0.0317,1,0.19691,0.376127778,0.726689,1
Alexandra Burke,The Silence,0.150764,0.330536,0.569004,0.086669,0.087425,1,0.038394,0.324755556,0.155954,0
Will Young,All Time Love,0.920225,0.464546,0.228737,0.099556,0.06519375,1,0.033362,0.321333333,0.389094,2
Shakira,UNDERNEATH YOUR CLOTHES (REMIX),0.473101,0.739822,0.412634,0.099215,0.02235,1,0.046284,0.599538889,0.293674,2
Jordin Sparks,No Air,0.000797,0.629229,0.485637,0.112564,0.0627625,1,0.028869,0.644544444,0.80262,0
Matt Cardle,The First Time Ever I Saw Your Face,0.929678,0.378184,0.125022,0.086191,0.0545625,1,0.036823,0.585861111,0.146285,2
Daniel Merriweather,Red,0.900374,0.354656,0.319132,0.110647,0.0789875,1,0.027736,0.439677778,0.207493,3
Newton Faulkner,Dream Catch Me,0.232556,0.629952,0.71033,0.085277,0.08499375,1,0.027766,0.544438889,0.597471,4
Finley Quaye,Your Love Gets Sweeter,0.62905,0.662527,0.6122,0.170162,0.06409375,1,0.134618,0.400966667,0.653577,1
Sara Bareilles,Many the Miles,0.007962,0.508219,0.717187,0.097086,0.09315625,1,0.04569,0.766944444,0.46151,3
Anthony Hamilton,Best of Me,0.009615,0.741917,0.728396,0.133772,0.0835875,0,0.031482,0.422277778,0.690981,0
Maxwell,Ascension,0.159485,0.782236,0.513691,0.079898,0.077,1,0.034835,0.421944444,0.823441,1
Angie Stone,Wish I Didn't Miss You,0.284898,0.836598,0.701449,0.096568,0.074475,0,0.037641,0.577383333,0.823725,4
Natasha Bedingfield,Soulmate,0.517327,0.477496,0.595514,0.109779,0.08895,0,0.035901,0.833816667,0.337164,2
The Calling,Wherever You Will Go,0.528684,0.567881,0.63171,0.088265,0.09086875,1,0.028544,0.507866667,0.35716,4
Backstreet Boys,As Long as You Love Me,0.144406,0.77388,0.797882,0.099107,0.0883375,1,0.027991,0.434533333,0.796185,2
Taylor Swift,Wildest Dreams,0.028857,0.550147,0.350118,0.181365,0.00649375,1,0.056261,0.666766667,0.457407,3
